Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1305538,-,-,-,33.42,-112.09,0,321,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Wind Speed,Solar Zenith Angle
2024,1,1,0,0,0,28,28,14.200000000000001,0,85.10000000000001
2024,1,1,1,0,0,0,0,13,0,96.35000000000001
2024,1,1,2,0,0,0,0,11.600000000000001,0,108.12
2024,1,1,3,0,0,0,0,10.3,0,120.33
2024,1,1,4,0,0,0,0,9.5,0,132.78
2024,1,1,5,0,0,0,0,8.8,0,145.26
2024,1,1,6,0,0,0,0,8.200000000000001,0,157.39000000000001
2024,1,1,7,0,0,0,0,8,0,167.51
2024,1,1,8,0,0,0,0,7.9,0,167.88
2024,1,1,9,0,0,0,0,8,0,158
2024,1,1,10,0,0,0,0,8,0,145.91
2024,1,1,11,0,0,0,0,8.1,0,133.43
2024,1,1,12,0,0,0,0,8.200000000000001,0,120.97
2024,1,1,13,0,0,0,0,8.3,0,108.74000000000001
2024,1,1,14,0,0,0,0,8.3,0,96.94
2024,1,1,15,0,0,3,3,9.9,0,85.62
2024,1,1,16,0,1,56,57,12,0,75.60000000000001
2024,1,1,17,0,13,154,159,13.5,0,66.97
2024,1,1,18,0,96,264,312,14.9,0,60.480000000000004
2024,1,1,19,0,402,232,452,15.9,0,56.9
2024,1,1,20,0,11,200,206,16.5,0,56.79
2024,1,1,21,0,26,232,245,16.6,0,60.160000000000004
2024,1,1,22,0,7,133,136,16.1,0,66.49
2024,1,1,23,0,259,124,191,14.700000000000001,0,75.01
2024,1,2,0,0,0,21,21,13,0,84.97
2024,1,2,1,0,0,0,0,12,0,96.22
2024,1,2,2,0,0,0,0,11.3,0,107.99000000000001
2024,1,2,3,0,0,0,0,10.8,0,120.19
2024,1,2,4,0,0,0,0,10.3,0,132.64000000000001
2024,1,2,5,0,0,0,0,9.600000000000001,0,145.13
2024,1,2,6,0,0,0,0,9.1,0,157.26
2024,1,2,7,0,0,0,0,9,0,167.38
2024,1,2,8,0,0,0,0,9,0,167.86
2024,1,2,9,0,0,0,0,8.8,0,158.05
2024,1,2,10,0,0,0,0,8.200000000000001,0,145.97
2024,1,2,11,0,0,0,0,7.4,0,133.49
2024,1,2,12,0,0,0,0,6.6000000000000005,0,121.03
2024,1,2,13,0,0,0,0,6.2,0,108.79
2024,1,2,14,0,0,0,0,6.1000000000000005,0,96.98
2024,1,2,15,0,343,25,51,8,0,85.65
2024,1,2,16,0,685,54,224,11.100000000000001,0,75.61
2024,1,2,17,0,823,69,391,13.8,0,66.96000000000001
2024,1,2,18,0,894,75,516,16.2,0,60.44
2024,1,2,19,0,922,78,582,17.8,0,56.83
2024,1,2,20,0,924,78,585,18.5,0,56.69
2024,1,2,21,0,892,77,523,18.7,0,60.04
2024,1,2,22,0,835,69,403,18.400000000000002,0,66.36
2024,1,2,23,0,6,125,127,16.400000000000002,0,74.87
2024,1,3,0,0,398,28,64,13.100000000000001,0,84.84
2024,1,3,1,0,0,0,0,12.4,0,96.08
2024,1,3,2,0,0,0,0,12.4,0,107.85000000000001
2024,1,3,3,0,0,0,0,12.8,0,120.06
2024,1,3,4,0,0,0,0,12.200000000000001,0,132.51
2024,1,3,5,0,0,0,0,10.9,0,144.99
2024,1,3,6,0,0,0,0,10.100000000000001,0,157.12
2024,1,3,7,0,0,0,0,9.8,0,167.25
2024,1,3,8,0,0,0,0,9.3,0,167.83
2024,1,3,9,0,0,0,0,8.8,0,158.09
2024,1,3,10,0,0,0,0,7.800000000000001,0,146.03
2024,1,3,11,0,0,0,0,6.800000000000001,0,133.55
2024,1,3,12,0,0,0,0,6,0,121.08
2024,1,3,13,0,0,0,0,5.5,0,108.84
2024,1,3,14,0,0,0,0,5.5,0,97.02
2024,1,3,15,0,345,25,51,8.5,0,85.67
2024,1,3,16,0,158,136,176,11.8,0,75.61
2024,1,3,17,0,465,157,339,14.5,0,66.94
2024,1,3,18,0,76,250,287,16.2,0,60.4
2024,1,3,19,0,907,81,578,16.900000000000002,0,56.75
2024,1,3,20,0,310,256,427,16.8,0,56.58
2024,1,3,21,0,205,240,343,16.400000000000002,0,59.92
2024,1,3,22,0,10,141,146,15.700000000000001,0,66.22
2024,1,3,23,0,2,63,63,14,0,74.73
2024,1,4,0,0,3,37,37,12,0,84.7
2024,1,4,1,0,0,0,0,11.200000000000001,0,95.94
2024,1,4,2,0,0,0,0,10.5,0,107.71000000000001
2024,1,4,3,0,0,0,0,9.4,0,119.92
2024,1,4,4,0,0,0,0,8.700000000000001,0,132.37
2024,1,4,5,0,0,0,0,8.200000000000001,0,144.86
2024,1,4,6,0,0,0,0,7.9,0,156.98
2024,1,4,7,0,0,0,0,7.1000000000000005,0,167.11
2024,1,4,8,0,0,0,0,6.300000000000001,0,167.8
2024,1,4,9,0,0,0,0,5.6000000000000005,0,158.12
2024,1,4,10,0,0,0,0,5.2,0,146.08
2024,1,4,11,0,0,0,0,5,0,133.6
2024,1,4,12,0,0,0,0,5,0,121.13
2024,1,4,13,0,0,0,0,4.9,0,108.89
2024,1,4,14,0,0,0,0,4.800000000000001,0,97.05
2024,1,4,15,0,0,27,27,6.6000000000000005,0,85.69
2024,1,4,16,0,630,62,218,8.9,0,75.61
2024,1,4,17,0,796,75,387,11.200000000000001,0,66.92
2024,1,4,18,0,896,75,519,12.9,0,60.34
2024,1,4,19,0,924,79,586,14.100000000000001,0,56.67
2024,1,4,20,0,926,79,591,14.9,0,56.47
2024,1,4,21,0,900,77,529,15.200000000000001,0,59.78
2024,1,4,22,0,831,71,407,15,0,66.08
2024,1,4,23,0,700,57,244,13.600000000000001,0,74.58
2024,1,5,0,0,382,30,67,9.9,0,84.55
2024,1,5,1,0,0,0,0,8.700000000000001,0,95.79
2024,1,5,2,0,0,0,0,7.9,0,107.57000000000001
2024,1,5,3,0,0,0,0,7.5,0,119.78
2024,1,5,4,0,0,0,0,7.4,0,132.23
2024,1,5,5,0,0,0,0,7.4,0,144.72
2024,1,5,6,0,0,0,0,7.300000000000001,0,156.83
2024,1,5,7,0,0,0,0,6.6000000000000005,0,166.97
2024,1,5,8,0,0,0,0,6,0,167.75
2024,1,5,9,0,0,0,0,5.300000000000001,0,158.15
2024,1,5,10,0,0,0,0,4.800000000000001,0,146.13
2024,1,5,11,0,0,0,0,4.4,0,133.65
2024,1,5,12,0,0,0,0,3.9000000000000004,0,121.18
2024,1,5,13,0,0,0,0,3.5,0,108.92
2024,1,5,14,0,0,0,0,3.4000000000000004,0,97.08
2024,1,5,15,0,324,26,50,5.800000000000001,0,85.7
2024,1,5,16,0,672,57,224,8.1,0,75.61
2024,1,5,17,0,153,232,292,10.3,0,66.88
2024,1,5,18,0,309,230,383,11.8,0,60.28
2024,1,5,19,0,50,263,291,12.3,0,56.57
2024,1,5,20,0,258,272,414,12.600000000000001,0,56.35
2024,1,5,21,0,118,267,326,12.9,0,59.64
2024,1,5,22,0,342,186,326,13.200000000000001,0,65.93
2024,1,5,23,0,327,124,212,12.100000000000001,0,74.43
2024,1,6,0,0,0,35,35,9.5,0,84.4
2024,1,6,1,0,0,0,0,8.700000000000001,0,95.64
2024,1,6,2,0,0,0,0,8.3,0,107.42
2024,1,6,3,0,0,0,0,8,0,119.64
2024,1,6,4,0,0,0,0,7.4,0,132.09
2024,1,6,5,0,0,0,0,7.1000000000000005,0,144.57
2024,1,6,6,0,0,0,0,6.7,0,156.68
2024,1,6,7,0,0,0,0,6.2,0,166.82
2024,1,6,8,0,0,0,0,5.300000000000001,0,167.70000000000002
2024,1,6,9,0,0,0,0,4.5,0,158.17000000000002
2024,1,6,10,0,0,0,0,3.9000000000000004,0,146.17000000000002
2024,1,6,11,0,0,0,0,3.2,0,133.7
2024,1,6,12,0,0,0,0,2.7,0,121.22
2024,1,6,13,0,0,0,0,2.8000000000000003,0,108.96000000000001
2024,1,6,14,0,0,0,0,2.9000000000000004,0,97.10000000000001
2024,1,6,15,0,385,24,52,5.300000000000001,0,85.71000000000001
2024,1,6,16,0,727,51,232,8.6,0,75.59
2024,1,6,17,0,861,65,403,11.700000000000001,0,66.85
2024,1,6,18,0,931,70,533,13.8,0,60.21
2024,1,6,19,0,957,74,603,15,0,56.47
2024,1,6,20,0,960,73,607,15.600000000000001,0,56.22
2024,1,6,21,0,913,80,543,15.8,0,59.5
2024,1,6,22,0,857,72,423,15.4,0,65.78
2024,1,6,23,0,739,57,257,13.600000000000001,0,74.28
2024,1,7,0,0,440,31,75,10.8,0,84.25
2024,1,7,1,0,0,0,0,9.8,0,95.49
